2022-02-16 10:37:36.276145
Name,MRP,Price,Pincode
Parle-G Original Gluco Biscuits: 50 gms, 5(Inclusive of all taxes), 5,411030
Parle Monaco Classic Regular Biscuit: 700 gms, 120(Inclusive of all taxes), 90,411030
Parle Hide & Seek Chocolate Chip Cookies: 350 gms, 120(Inclusive of all taxes), 99,411030
Haldiram's Bhujia Sev: 350 gms, 99(Inclusive of all taxes), 80,411030
Tata Salt - Evaporated Iodised: 1 kg, 24(Inclusive of all taxes), 22,411030
Fortune Sunlite Refined Sunflower Oil: 1 Litre, 180(Inclusive of all taxes), 151,411030
Brooke Bond Red Label Natural Care Tea: 1 kg, 650(Inclusive of all taxes), 485,411030
Nescafé Classic Coffee Jar: 50 gms, 165(Inclusive of all taxes), 150,411030
Aashirvaad Multigrain Atta (Ghau no Lot): 5 kgs, 315(Inclusive of all taxes), 265,390008
Daawat Rozana Super Basmati Rice (Chokha): 5 kgs, 425(Inclusive of all taxes), 318,390008
Sunfeast Dark Fantasy Choco Fills Cookies: 75 gms, 35(Inclusive of all taxes), 29,390008
Kellogg's Muesli Nuts Delight: 750 gms, 425(Inclusive of all taxes), 335,390008
Gowardhan Pure Cow Ghee Pouch: 1 Litre, 579(Inclusive of all taxes), 495,390008
Kissan Fresh Tomato Ketchup: 950 gms, 120(Inclusive of all taxes), 94,390008
Wagh Bakri Navchetan Tea: 1 kg, 272(Inclusive of all taxes), 210,390008
Cadbury Bournvita Health Drink Refill: 500 gms, 209(Inclusive of all taxes), 184,390008
Lux Soft Glow Rose & Vitamin E Beauty Soap: 3X150 gms, 165(Inclusive of all taxes), 132,390008
Santoor Sandal & Turmeric Soap: 4x100 gms, 114(Inclusive of all taxes), 104,390008
Colgate Swarna Vedshakti Toothpaste: 200 gms, 95(Inclusive of all taxes), 88,390008
Britannia NutriChoice Digestive Hi-Fibre Biscuits: 1 kg, 199(Inclusive of all taxes), 141,390008
Parle-G Original Gluco Biscuits: 100 gms, 10(Inclusive of all taxes), 10,390008
Parle Monaco Classic Regular Biscuit: 700 gms, 120(Inclusive of all taxes), 95,390008
Parle Hide & Seek Chocolate Chip Cookies: 350 gms, 120(Inclusive of all taxes), 90,390008
Haldiram's Bhujia Sev: 150 gms, 50(Inclusive of all taxes), 45,390008
Tata Salt - Evaporated Iodised: 1 kg, 24(Inclusive of all taxes), 22,390008
Fortune Sunlite Refined Sunflower Oil: 1 Litre, 180(Inclusive of all taxes), 153,390008
Brooke Bond Red Label Natural Care Tea: 1 kg, 590(Inclusive of all taxes), 530,390008
Nescafé Classic Coffee Jar: 50 gms, 165(Inclusive of all taxes), 150,390008
Aashirvaad Multigrain Atta: 5 kgs, 315(Inclusive of all taxes), 265,410210
Daawat Rozana Super Basmati Rice: 5 kgs, 425(Inclusive of all taxes), 315,410210
Sunfeast Dark Fantasy Choco Fills Cookies: 75 gms, 35(Inclusive of all taxes), 28,410210
Kellogg's Muesli Nuts Delight: 750 gms, 425(Inclusive of all taxes), 345,410210
Gowardhan Pure Cow Ghee Pouch: 1 Litre, 579(Inclusive of all taxes), 499,410210
Kissan Tomato Ketchup: 1.2 kgs, 160(Inclusive of all taxes), 105,410210
Wagh Bakri Navchetan Tea: 1 kg, 240(Inclusive of all taxes), 199,410210
Cadbury Bournvita Health Drink Refill: 500 gms, 209(Inclusive of all taxes), 189,410210
Lux Soft Glow Rose & Vitamin E Beauty Soap: 3X150 gms, 165(Inclusive of all taxes), 145,410210
Santoor Sandal & Turmeric Soap: 4x75 gms, 96(Inclusive of all taxes), 84,410210
Colgate Swarna Vedshakti Toothpaste: 200 gms, 105(Inclusive of all taxes), 97,410210
Britannia NutriChoice Digestive Hi-Fibre Biscuits: 1 kg, 199(Inclusive of all taxes), 132,410210
Parle-G Original Gluco Biscuits: 200 gms, 22(Inclusive of all taxes), 22,410210
Parle Monaco Classic Regular Biscuit: 700 gms, 120(Inclusive of all taxes), 89,410210
Parle Hide & Seek Chocolate Chip Cookies: 350 gms, 120(Inclusive of all taxes), 95,410210
Haldiram's Bhujia Sev: 150 gms, 50(Inclusive of all taxes), 45,410210
Tata Salt - Evaporated Iodised: 1 kg, 24(Inclusive of all taxes), 21,410210
Fortune Sunlite Refined Sunflower Oil: 1 Litre, 180(Inclusive of all taxes), 155,410210
Brooke Bond Red Label Natural Care Tea: 1 kg, 650(Inclusive of all taxes), 455,410210
Nescafé Classic Coffee Jar: 100 gms, 310(Inclusive of all taxes), 280,410210
Aashirvaad Multigrain Atta: 5 kgs, 315(Inclusive of all taxes), 262,394515
Daawat Rozana Super Basmati Rice (Chokha): 5 kgs, 425(Inclusive of all taxes), 325,394515
Sunfeast Dark Fantasy Choco Fills Cookies: 75 gms, 35(Inclusive of all taxes), 29,394515
Kellogg's Muesli Nuts Delight: 750 gms, 415(Inclusive of all taxes), 335,394515
Gowardhan Pure Cow Ghee Pouch: 1 Litre, 579(Inclusive of all taxes), 497,394515
Kissan Fresh Tomato Ketchup: 950 gms, 120(Inclusive of all taxes), 95,394515
Wagh Bakri Navchetan Tea: 1 kg, 272(Inclusive of all taxes), 207,394515
Cadbury Bournvita Health Drink Refill: 500 gms, 209(Inclusive of all taxes), 197,394515
Lux Soft Glow Rose & Vitamin E Beauty Soap: 3X150 gms, 165(Inclusive of all taxes), 131,394515
Santoor Sandal & Turmeric Soap: 4x100 gms, 118(Inclusive of all taxes), 113,394515
Colgate Swarna Vedshakti Toothpaste: 200 gms, 98(Inclusive of all taxes), 92,394515
Britannia NutriChoice Digestive Hi-Fibre Biscuits: 1 kg, 199(Inclusive of all taxes), 147,394515
Parle-G Original Gluco Biscuits: 100 gms, 10(Inclusive of all taxes), 9,394515
Parle Monaco Classic Regular Biscuit: 700 gms, 120(Inclusive of all taxes), 90,394515
Parle Hide & Seek Chocolate Chip Cookies: 350 gms, 120(Inclusive of all taxes), 95,394515
Haldiram's Bhujia Sev: 150 gms, 50(Inclusive of all taxes), 45,394515
Tata Salt - Evaporated Iodised: 1 kg, 24(Inclusive of all taxes), 21,394515
Fortune Sunlite Refined Sunflower Oil: 1 Litre, 180(Inclusive of all taxes), 150,394515
Brooke Bond Red Label Natural Care Tea: 1 kg, 590(Inclusive of all taxes), 530,394515
Nescafé Classic Coffee Jar: 50 gms, 160(Inclusive of all taxes), 153,394515
