2022-02-19 11:53:25.462776
EAN,Name,MRP,Price
40196818,"Tasties Nacho Chips - Cheese, 150 g",Rs 90,Rs 45
40085823,"Whiskas Wet Cat Food - Chicken In Gravy, For Kittens, 2-12 Months, 85 g",Rs 35,Rs 33.25
284420,"Aashirvaad Multigrains Atta/Godihittu, 5 Kg Pouch",Rs 328,Rs 282.08
162275,"Bournvita Chocolate Health Drink - Bournvita, 75 g Pouch",Rs 30,Rs 25.25
40016660,"Pears Pure & Gentle Bathing Bar, 125 g (Buy 4 Get 1 Free)",Rs 325,Rs 251.43
40034580,"Dettol Liquid Handwash - Original, Everyday Protection, Fights Germs, 750 ml",Rs 109,Rs 103
40085596,"bigbasket Baby Wipes - Sea Breeze, No Paraben, Double Moisturizing, 80 pcs",Rs 199,Rs 99
1200385,"Harpic Disinfectant Toilet Cleaner Liquid,Original + Bathroom Cleaner,Lemon, each 500ml, Combo 2 Items",Rs 192,Rs 172.77
1208975,"Harpic Bathroom Cleaner Lemon 1 L + Toilet Cleaner, Original 1 L, Combo (Pack of 2)",Rs 384,Rs 323
1200270,"Harpic Toilet Cleaner 1 L + Bathroom Cleaner Citrus 500 ml, Combo (Pack of 2)",Rs 294,Rs 255.26
1200198,"Harpic Toilet Cleaner 1 L + Bathroom Cleaner Citrus 500 ml, Combo (Pack of 2)",Rs 294,Rs 255.26
299670,"Johnson's baby Baby Soap, 150 g",Rs 105,Rs 90.25
100526377,"Himalaya Baby Baby Powder, 400 g",Rs 235,Rs 162.15
10000901,"Fresho Chicken Breast - Boneless, Antibiotic Residue-Free, 250 g",Rs 151,Rs 143.45
10000117,"Fresho Ginger, 100 g",Rs 4.38,Rs 3.50
1214628,"Duracell Ultra-Alkaline Battery AAA, 2 x 4 pcs Multipack",Rs 340,Rs 299.88
40000292,"Tata Sampann Toor Dal/Togari Bele, 500 g Pouch",Rs 91,Rs 83.72
30005117,"Pedigree Wet Dog Food - Chicken Chunks In Gravy, For Puppy, 70 g Pouch",Rs 35,Rs 31.50
40104245,"Pepsi Black Soft Drink - Max Taste, Zero Cal(Diet), 250 ml Can",Rs 30,Rs 27
40092231,"BB Royal Organic - Almond/Badam, 200 g",Rs 375,Rs 229
30010383,"BB Popular Peanuts/Kadalekayi - Raw, 1 kg 0",Rs 220,Rs 164
40013518,"Himalaya Baby Baby Soap - Extra Moisturizing, 75 g Carton",Rs 50,Rs 47.50
100003902,"Mysore Sandal Bathing Soap, 125 g Carton",Rs 65,Rs 61.75
261016,"Johnson's baby No More Tears Baby Shampoo, 100 ml",Rs 98,Rs 93.10
10000266,"Fresho Orange - Nagpur, Regular, 1 kg (Approx. 6 - 7 pcs)",Rs 87.50,Rs 70
40000263,"BB Popular Toor/Arhar Dal, 2 kg Pouch",Rs 320,Rs 235
40020218,"Nescafe  Sunrise Instant Coffee, 5.5 g Pouch",Rs 5,Rs 4.75
70001924,"Pedigree Adult Gravy DogÂ Food - Chicken & Liver Chunks In Gravy, 25 RsÂ Off Value Pack, 70 g (Pack of 15)",Rs 525,Rs 463
40192104,"Fresho Frozen Green Peas, 500 g Pouch",Rs 135,Rs 99
119396,"Horlicks Health & Nutrition Drink - Classic Malt, 200 g Jar",Rs 118,Rs 112.10
40130385,"Fresho Tomato - Local, Organically Grown, 1 kg",Rs 17.50,Rs 14
40020805,"Himalaya Baby Shampoo - Gentle Baby, 400 ml Bottle",Rs 320,Rs 208.01
174367,"Bisleri  Mineral Water, 5 L Can",Rs 70,Rs 66.50
1212930,"BORGES Extra Virgin Olive Oil 1L Pet Bottle + Durum Wheat Pasta Penne Rigate 500g Pouch, Combo 2 Items",Rs 1650,Rs 812
299464,"Surf Excel Easy Wash Detergent Powder, 500 g Pouch",Rs 72,Rs 62.89
40195476,"Whisper  Ultra Clean Sanitary Pads - XL Plus, Locks Wetness & Odour, 50 pcs",Rs 535,Rs 360
40128546,"Eveready LED Bulb - 9 Watt,  Cool Day Light, Base B22D, 1 pc",Rs 150,Rs 71.20
204629,"Aashirvaad Select Atta/Godihittu, 5 Kg Pouch",Rs 315,Rs 270.90
40023472,"Fresho Onion - Organically Grown, 1 kg",Rs 50,Rs 40
40078316,"Lakme Perfecting Liquid Foundation, 27 ml Pearl",Rs 160,Rs 126.40
169377,"Pedigree Dry Dog Food - Meat & Rice, For Adult Dogs, 3 kg",None,Rs 660
40085596,"bigbasket Baby Wipes - Sea Breeze, No Paraben, Double Moisturizing, 80 pcs",Rs 199,Rs 99
1200385,"Harpic Disinfectant Toilet Cleaner Liquid,Original + Bathroom Cleaner,Lemon, each 500ml, Combo 2 Items",Rs 192,Rs 172.77
1208975,"Harpic Bathroom Cleaner Lemon 1 L + Toilet Cleaner, Original 1 L, Combo (Pack of 2)",Rs 384,Rs 323
1200270,"Harpic Toilet Cleaner 1 L + Bathroom Cleaner Citrus 500 ml, Combo (Pack of 2)",Rs 294,Rs 255.26
1200198,"Harpic Toilet Cleaner 1 L + Bathroom Cleaner Citrus 500 ml, Combo (Pack of 2)",Rs 294,Rs 255.26
299670,"Johnson's baby Baby Soap, 150 g",Rs 105,Rs 90.25
100526377,"Himalaya Baby Baby Powder, 400 g",Rs 235,Rs 162.15
10000901,"Fresho Chicken Breast - Boneless, Antibiotic Residue-Free, 250 g",Rs 151,Rs 143.45
10000117,"Fresho Ginger, 100 g",Rs 4.38,Rs 3.50
40000292,"Tata Sampann Toor Dal/Togari Bele, 500 g Pouch",Rs 91,Rs 83.72
1214628,"Duracell Ultra-Alkaline Battery AAA, 2 x 4 pcs Multipack",Rs 340,Rs 299.88
30005117,"Pedigree Wet Dog Food - Chicken Chunks In Gravy, For Puppy, 70 g Pouch",Rs 35,Rs 31.50
1204354,"Fresho Bread - Whole Wheat, Chemical Free 400G + Eggs - Regular 6pcs, Combo 2 Items",Rs 89,Rs 84.52
40104245,"Pepsi Black Soft Drink - Max Taste, Zero Cal(Diet), 250 ml Can",Rs 30,Rs 27
40092231,"BB Royal Organic - Almond/Badam, 200 g",Rs 375,Rs 229
70001924,"Pedigree Adult Gravy DogÂ Food - Chicken & Liver Chunks In Gravy, 25 RsÂ Off Value Pack, 70 g (Pack of 15)",Rs 525,Rs 463
30010383,"BB Popular Peanuts/Kadalekayi - Raw, 1 kg 0",Rs 220,Rs 164
40013518,"Himalaya Baby Baby Soap - Extra Moisturizing, 75 g Carton",Rs 50,Rs 47.50
100003902,"Mysore Sandal Bathing Soap, 125 g Carton",Rs 65,Rs 61.75
261016,"Johnson's baby No More Tears Baby Shampoo, 100 ml",Rs 98,Rs 93.10
10000266,"Fresho Orange - Nagpur, Regular, 1 kg (Approx. 6 - 7 pcs)",Rs 87.50,Rs 70
40000263,"BB Popular Toor/Arhar Dal, 2 kg Pouch",Rs 320,Rs 235
299464,"Surf Excel Easy Wash Detergent Powder, 500 g Pouch",Rs 72,Rs 62.89
119396,"Horlicks Health & Nutrition Drink - Classic Malt, 200 g Jar",Rs 118,Rs 112.10
40192104,"Fresho Frozen Green Peas, 500 g Pouch",Rs 135,Rs 99
40130385,"Fresho Tomato - Local, Organically Grown, 1 kg",Rs 17.50,Rs 14
40020805,"Himalaya Baby Shampoo - Gentle Baby, 400 ml Bottle",Rs 320,Rs 208.01
1212930,"BORGES Extra Virgin Olive Oil 1L Pet Bottle + Durum Wheat Pasta Penne Rigate 500g Pouch, Combo 2 Items",Rs 1650,Rs 812
174367,"Bisleri  Mineral Water, 5 L Can",Rs 70,Rs 66.50
40128546,"Eveready LED Bulb - 9 Watt,  Cool Day Light, Base B22D, 1 pc",Rs 150,Rs 71.20
40195476,"Whisper  Ultra Clean Sanitary Pads - XL Plus, Locks Wetness & Odour, 50 pcs",Rs 535,Rs 360
204629,"Aashirvaad Select Atta/Godihittu, 5 Kg Pouch",Rs 315,Rs 270.90
40020218,"Nescafe  Sunrise Instant Coffee, 5.5 g Pouch",Rs 5,Rs 4.75
40023472,"Fresho Onion - Organically Grown, 1 kg",Rs 50,Rs 40
169377,"Pedigree Dry Dog Food - Meat & Rice, For Adult Dogs, 3 kg",Rs 660,Rs 627
40078316,"Lakme Perfecting Liquid Foundation, 27 ml Pearl",Rs 160,Rs 126.40
1204354,"Fresho Bread - Whole Wheat, Chemical Free 400G + Eggs - Regular 6pcs, Combo 2 Items",Rs 89,Rs 84.52
40025355,"Fresho Whole Wheat Bread - Safe, Preservative Free, 400 g",Rs 39,Rs 37.05
10000471,"BB Royal Channa Dal/Kadale Bele, 500 g Pouch",Rs 80,Rs 53
10000431,"BB Royal Poha/Avalakki/Aval/Chivda - Thick, 1 kg Pouch",Rs 80,Rs 48
40163269,"Elephant  Stainless Steel Coffee/Tea Strainer - 8 cm, 1 pc",Rs 89,Rs 69
40033819,"Fresho Apple - Shimla, 4 pcs (Approx. 500g-  650g)",Rs 148.75,Rs 119
10000025,"Fresho Banana - Robusta, 1 kg",Rs 39.38,Rs 31.50
266967,"Vim Dishwash Liquid Gel - Lemon, 250 ml Bottle",Rs 50,Rs 47.50
40094998,"BB Royal Organic - Raw Peanuts/Kadalekayi, 1 kg",Rs 225,Rs 175
30010377,"BB Popular Urad Dal/Uddina Bele - Split, 1 kg Pouch",Rs 200,Rs 135
10000405,"BB Popular Rice/Akki - Raw, Sona Masoori, 10 kg (6 - 11 Months Old)",Rs 650,Rs 460
10000472,"BB Royal Urad - Whole/Gota, 1 kg Pouch",Rs 210,Rs 150
40134301,"Mamypoko Pant Style Diapers - Extra Absorbent, Prevents Leakage, XL, 70 pcs",Rs 1499,Rs 1319.12
20000437,"BB Royal Green Moong Whole/Hesaru Kaalu - Sabut, 1 kg Pouch",Rs 180,Rs 124
40046547,"Epigamia  Greek Yogurt - Alphonso Mango, 90 g Cup",Rs 50,Rs 45.45
10000054,"Fresho Brinjal - Bottle Shape, 500 g",Rs 21.46,Rs 17.17
40034579,"Dettol Liquid Handwash - Skincare, Everyday Protection, pH Balanced, Moisturising, 750 ml Refill",Rs 109,Rs 103.55
10000175,"Fresho Ridge Gourd, 1 kg",Rs 40,Rs 30.30
1204984,"bb Combo Harpic Disinfectant Toilet Cleaner Original200ml+Lizol Floor Cleaner Floral200ml, Combo 2 Items",Rs 80,Rs 75.62
1208976,"bb Combo Harpic Toilet Cleaner Liquid, Original 1 L + Lizol Floor & Surface Cleaner Liquid, Floral 2 L, Combo 2 Items",Rs 594,Rs 523
40120486,"Baby Dove Rich Moisture Hypoallergenic Wash - Sensitive Care, Natural, No Parabens, 400 ml",Rs 315,Rs 246
10000482,"BB Royal Mustard/Sasive/Rai - Small, 100 g",Rs 25,Rs 19
40180904,"Pampers  Premium Care Diapers - Extra Large, 108 pcs Box",Rs 3449,Rs 2191
40019371,"Bournvita Chocolate Health Drink - Bournvita, 750 g Pouch",Rs 310,Rs 265
305539,"Comfort After Wash Morning Fresh Fabric Conditioner, 430 ml Bottle",Rs 120,Rs 114
40090036,"Baby Dove Rich Moisture Bathing Bar - Sensitive Care, Natural, No Parabens, 50 g",Rs 32,Rs 30.40
1204352,"Fresho Sandwich Bread - White, Chemical Free 400G + Eggs - Regular 6pcs, Combo 2 Items",Rs 89,Rs 84.52
1216055,"Lizol Disinfectant Surface & Floor Cleaner Liquid Citrus Kills 99.9% Germs 2L+500ml, Combo 2 Items",Rs 502,Rs 446.25
100401162,"Coca Cola Diet Coke Soft Drink, 300 ml Can",Rs 40,Rs 34.34
148682,"Idhayam Oil - Gingelly, 500 ml Pouch",Rs 163,Rs 152
40216129,"Fresho Tender Coconut Water - No Added Sugar, Flavours, 200 ml Bottle",Rs 50,Rs 40
40197380,"Philips LED Bulb - 10 Watt, Energy Efficient, Cool Day Light, Ace Saver Base B22, 1 pc",Rs 200,Rs 125
40018904,"BB Royal Bansi Sooji, 1 kg Pouch",Rs 75,Rs 46
1204353,"Fresho Bread - Brown, Chemical Free 400G + Eggs - Regular 6pcs, Combo 2 Items",Rs 89,Rs 84.52
40016673,"Disano Olive Oil - Extra Virgin, 500 ml Bottle",Rs 845,Rs 397
40087191,"Happilo Premium Natural Californian Almonds, 200 g",Rs 275,Rs 206.25
1201429,"bb Combo Quaker Oats 1.5 Kg Pouch + Aashirvaad Atta - Whole Wheat 5 kg Pouch, Combo 2 Items",Rs 551,Rs 462
40025355,"Fresho Whole Wheat Bread - Safe, Preservative Free, 400 g",Rs 39,Rs 37.05
10000471,"BB Royal Channa Dal/Kadale Bele, 500 g Pouch",Rs 80,Rs 53
10000431,"BB Royal Poha/Avalakki/Aval/Chivda - Thick, 1 kg Pouch",Rs 80,Rs 48
40163269,"Elephant  Stainless Steel Coffee/Tea Strainer - 8 cm, 1 pc",Rs 89,Rs 69
40033819,"Fresho Apple - Shimla, 4 pcs (Approx. 500g-  650g)",Rs 148.75,Rs 119
10000025,"Fresho Banana - Robusta, 1 kg",Rs 39.38,Rs 31.50
40094998,"BB Royal Organic - Raw Peanuts/Kadalekayi, 1 kg",Rs 225,Rs 175
30010377,"BB Popular Urad Dal/Uddina Bele - Split, 1 kg Pouch",Rs 200,Rs 135
10000472,"BB Royal Urad - Whole/Gota, 1 kg Pouch",Rs 210,Rs 150
40134301,"Mamypoko Pant Style Diapers - Extra Absorbent, Prevents Leakage, XL, 70 pcs",Rs 1499,Rs 1319.12
20000437,"BB Royal Green Moong Whole/Hesaru Kaalu - Sabut, 1 kg Pouch",Rs 180,Rs 124
40046547,"Epigamia  Greek Yogurt - Alphonso Mango, 90 g Cup",Rs 50,Rs 45.45
266967,"Vim Dishwash Liquid Gel - Lemon, 250 ml Bottle",Rs 50,Rs 47.50
10000054,"Fresho Brinjal - Bottle Shape, 500 g",Rs 21.46,Rs 17.17
40034579,"Dettol Liquid Handwash - Skincare, Everyday Protection, pH Balanced, Moisturising, 750 ml Refill",Rs 109,Rs 103.55
10000405,"BB Popular Rice/Akki - Raw, Sona Masoori, 10 kg (6 - 11 Months Old)",Rs 650,Rs 460
10000175,"Fresho Ridge Gourd, 1 kg",Rs 40,Rs 30.30
1204984,"bb Combo Harpic Disinfectant Toilet Cleaner Original200ml+Lizol Floor Cleaner Floral200ml, Combo 2 Items",Rs 80,Rs 75.62
1208976,"bb Combo Harpic Toilet Cleaner Liquid, Original 1 L + Lizol Floor & Surface Cleaner Liquid, Floral 2 L, Combo 2 Items",Rs 594,Rs 523
40120486,"Baby Dove Rich Moisture Hypoallergenic Wash - Sensitive Care, Natural, No Parabens, 400 ml",Rs 315,Rs 246
10000482,"BB Royal Mustard/Sasive/Rai - Small, 100 g",Rs 25,Rs 19
40180904,"Pampers  Premium Care Diapers - Extra Large, 108 pcs Box",Rs 3449,Rs 2191
40019371,"Bournvita Chocolate Health Drink - Bournvita, 750 g Pouch",Rs 310,Rs 265
305539,"Comfort After Wash Morning Fresh Fabric Conditioner, 430 ml Bottle",Rs 120,Rs 114
40090036,"Baby Dove Rich Moisture Bathing Bar - Sensitive Care, Natural, No Parabens, 50 g",Rs 32,Rs 30.40
1204352,"Fresho Sandwich Bread - White, Chemical Free 400G + Eggs - Regular 6pcs, Combo 2 Items",Rs 89,Rs 84.52
1216055,"Lizol Disinfectant Surface & Floor Cleaner Liquid Citrus Kills 99.9% Germs 2L+500ml, Combo 2 Items",Rs 502,Rs 446.25
100401162,"Coca Cola Diet Coke Soft Drink, 300 ml Can",Rs 40,Rs 34.34
148682,"Idhayam Oil - Gingelly, 500 ml Pouch",Rs 163,Rs 152
40216129,"Fresho Tender Coconut Water - No Added Sugar, Flavours, 200 ml Bottle",Rs 50,Rs 40
40197380,"Philips LED Bulb - 10 Watt, Energy Efficient, Cool Day Light, Ace Saver Base B22, 1 pc",Rs 200,Rs 125
1204353,"Fresho Bread - Brown, Chemical Free 400G + Eggs - Regular 6pcs, Combo 2 Items",Rs 89,Rs 84.52
40018904,"BB Royal Bansi Sooji, 1 kg Pouch",Rs 75,Rs 46
40016673,"Disano Olive Oil - Extra Virgin, 500 ml Bottle",Rs 845,Rs 397
40087191,"Happilo Premium Natural Californian Almonds, 200 g",Rs 275,Rs 206.25
1201429,"bb Combo Quaker Oats 1.5 Kg Pouch + Aashirvaad Atta - Whole Wheat 5 kg Pouch, Combo 2 Items",Rs 551,Rs 462
1203895,"Surf Excel Matic Front Load Detergent Powder 2 kg + Liquid Matic, Front Load 500 ml, Combo 2 Item",Rs 665,Rs 506.24
266549,"Bru  Filter Coffee - Green Label, 200 g",Rs 62,Rs 56.36
40046548,"Epigamia  Greek Yogurt - Strawberry, 90 g Cup",Rs 50,Rs 45.45
40023480,"Fresho Ginger - Organically Grown, 250 g",Rs 15.63,Rs 12.50
20000911,"Fresho Kiwi - Green, 3 pcs",Rs 123.75,Rs 99
40136610,"Pampers  Premium Care Diapers - Large, 88 pcs",Rs 2099,Rs 1536
40106413,"Ariel Matic Front Load Detergent Washing Powder, 4 kg (Get 2 kg Free)",Rs 1200,Rs 968
40105916,"BB Royal Avalakki - Medium, 1 kg",Rs 80,Rs 55
40131176,"Pampers  Diaper Pants - Medium, 76 pcs",Rs 1199,Rs 759.20
1216897,"Harpic Disinfectant Toilet Cleaner, Original 1 L + Flushmatic Block, Marine,3 x 50 g, Combo 2 Items",Rs 409,Rs 346.35
10000599,"Fresho Cucumber - English, 500 g",Rs 20.63,Rs 16.50
40154922,"Nescafe Gold Blend Instant Coffee Powder - Rich & Smooth, 50 g Jar",Rs 295,Rs 280.25
303129,"BORGES Durum Wheat Pasta - Fusilli, 500 g Pouch",Rs 250,Rs 126
40013495,"Himalaya Baby Shampoo - Gentle Baby, 200 ml",Rs 170,Rs 133
265726,"Coca Cola Soft Drink - Original Taste, 1.25 L Pet Bottle",Rs 65,Rs 61.75
20004207,"Johnson's baby Baby Soap - Blossoms, 75 g",Rs 57,Rs 54.15
40110176,"Himalaya Baby Baby Soap - Gentle  4X75 Gm, 300 g Buy 3 Get 1 Free",Rs 180,Rs 124.20
10000063,"Fresho Broccoli, 1 pc (Approx. 250g-500g)",Rs 37.50,Rs 30
1216900,"Harpic Disinfectant Toilet Cleaner, Original 1 L + Power Fresh 6, Marine Splash 35 g, Combo 2 Items",Rs 383,Rs 332.35
1212720,"Dettol Antiseptic- Disinfectant Liquid 250 ml + Clinical Strength Hand Sanitizer 500 ml, Combo 2 Items",Rs 366.16,Rs 300.23
1212721,"Dettol Antiseptic- Disinfectant Liquid 550 ml + Clinical Strength Hand Sanitizer 500 ml, Combo 2 Items",Rs 444.60,Rs 374.87
1212722,"Dettol Antiseptic - Disinfectant Liquid 1 L + Clinical Strength Hand Sanitizer 500 ml, Combo 2 Items",Rs 581.41,Rs 489.10
20000981,"Fresho Spring Onion - With roots, 100 g",Rs 7.50,Rs 4.04
1216898,"Harpic Disinfectant Toilet Cleaner, Original 1 L + Flushmatic  Block, Citrus 3 x 50 g, Combo 2 Items",Rs 399,Rs 342.35
40201467,"Tata Tea Gold Care Tea, 500 g",Rs 315,Rs 246
1213748,"Lizol Double Concentrate Floor Cleaner 900 ml + Harpic Disinfectant Toilet Cleaner 1 L, Combo (Pack of 2)",Rs 520,Rs 416
40023474,"Fresho Banana - Yelakki, Organically Grown, 500 g",Rs 46.25,Rs 37
1216899,"Harpic Disinfectant Toilet Cleaner, Original 1 L + Flushmatic Block, Lavender 3 x 50 g, Combo 2 Items",Rs 409,Rs 352.35
1208851,"bb Combo Lizol Floor Cleaner, Citrus - 500ml + Harpic Bathroom Cleaning Liquid - Lemon 500ml, Combo 2 Items",Rs 202,Rs 178.90
40189429,"BB Royal Atta Sharbati 100% MP Whole Wheat Rotis Stay Softer For Longer, 10 kg (Fortified)",Rs 640,Rs 389
50000511,"Fresho Chilli - Green, Organically Grown, 100 g",Rs 17.50,Rs 14
10000104,"Fresho Curry Leaves, 100 g",Rs 18,Rs 10.10
40003555,"BB Popular Channa - Kabuli/Kabuli Kadale, 200 g Pouch",Rs 40,Rs 30
40203900,"BB Royal Organic - Cardamom Green/Elakki, 100 g",Rs 599,Rs 255
10000420,"BB Royal Rice - Flour, 500 g Pouch",Rs 30,Rs 18.18
40186857,"Colgate Max Fresh Anticavity Toothpaste Gel - Peppermint Ice, Saver Pack, 300 g",Rs 182,Rs 127
40131176,"Pampers  Diaper Pants - Medium, 76 pcs",Rs 1199,Rs 759.20
1203895,"Surf Excel Matic Front Load Detergent Powder 2 kg + Liquid Matic, Front Load 500 ml, Combo 2 Item",Rs 665,Rs 506.24
266549,"Bru  Filter Coffee - Green Label, 200 g",Rs 62,Rs 56.36
40046548,"Epigamia  Greek Yogurt - Strawberry, 90 g Cup",Rs 50,Rs 45.45
40023480,"Fresho Ginger - Organically Grown, 250 g",Rs 15.63,Rs 12.50
20000911,"Fresho Kiwi - Green, 3 pcs",Rs 123.75,Rs 99
40136610,"Pampers  Premium Care Diapers - Large, 88 pcs",Rs 2099,Rs 1536
40106413,"Ariel Matic Front Load Detergent Washing Powder, 4 kg (Get 2 kg Free)",Rs 1200,Rs 968
40105916,"BB Royal Avalakki - Medium, 1 kg",Rs 80,Rs 55
10000599,"Fresho Cucumber - English, 500 g",Rs 20.63,Rs 16.50
40154922,"Nescafe Gold Blend Instant Coffee Powder - Rich & Smooth, 50 g Jar",Rs 295,Rs 280.25
303129,"BORGES Durum Wheat Pasta - Fusilli, 500 g Pouch",Rs 250,Rs 126
40013495,"Himalaya Baby Shampoo - Gentle Baby, 200 ml",Rs 170,Rs 133
20004207,"Johnson's baby Baby Soap - Blossoms, 75 g",Rs 57,Rs 54.15
265726,"Coca Cola Soft Drink - Original Taste, 1.25 L Pet Bottle",Rs 65,Rs 61.75
40110176,"Himalaya Baby Baby Soap - Gentle  4X75 Gm, 300 g Buy 3 Get 1 Free",Rs 180,Rs 124.20
10000063,"Fresho Broccoli, 1 pc (Approx. 250g-500g)",Rs 37.50,Rs 30
1216897,"Harpic Disinfectant Toilet Cleaner, Original 1 L + Flushmatic Block, Marine,3 x 50 g, Combo 2 Items",Rs 409,Rs 346.35
1216900,"Harpic Disinfectant Toilet Cleaner, Original 1 L + Power Fresh 6, Marine Splash 35 g, Combo 2 Items",Rs 383,Rs 332.35
1212720,"Dettol Antiseptic- Disinfectant Liquid 250 ml + Clinical Strength Hand Sanitizer 500 ml, Combo 2 Items",Rs 366.16,Rs 300.23
1212721,"Dettol Antiseptic- Disinfectant Liquid 550 ml + Clinical Strength Hand Sanitizer 500 ml, Combo 2 Items",Rs 444.60,Rs 374.87
1212722,"Dettol Antiseptic - Disinfectant Liquid 1 L + Clinical Strength Hand Sanitizer 500 ml, Combo 2 Items",Rs 581.41,Rs 489.10
20000981,"Fresho Spring Onion - With roots, 100 g",Rs 7.50,Rs 4.04
1216898,"Harpic Disinfectant Toilet Cleaner, Original 1 L + Flushmatic  Block, Citrus 3 x 50 g, Combo 2 Items",Rs 399,Rs 342.35
40201467,"Tata Tea Gold Care Tea, 500 g",Rs 315,Rs 246
1213748,"Lizol Double Concentrate Floor Cleaner 900 ml + Harpic Disinfectant Toilet Cleaner 1 L, Combo (Pack of 2)",Rs 520,Rs 416
40023474,"Fresho Banana - Yelakki, Organically Grown, 500 g",Rs 46.25,Rs 37
1216899,"Harpic Disinfectant Toilet Cleaner, Original 1 L + Flushmatic Block, Lavender 3 x 50 g, Combo 2 Items",Rs 409,Rs 352.35
1208851,"bb Combo Lizol Floor Cleaner, Citrus - 500ml + Harpic Bathroom Cleaning Liquid - Lemon 500ml, Combo 2 Items",Rs 202,Rs 178.90
50000511,"Fresho Chilli - Green, Organically Grown, 100 g",Rs 17.50,Rs 14
40189429,"BB Royal Atta Sharbati 100% MP Whole Wheat Rotis Stay Softer For Longer, 10 kg (Fortified)",Rs 640,Rs 389
10000104,"Fresho Curry Leaves, 100 g",Rs 18,Rs 10.10
40003555,"BB Popular Channa - Kabuli/Kabuli Kadale, 200 g Pouch",Rs 40,Rs 30
40203900,"BB Royal Organic - Cardamom Green/Elakki, 100 g",Rs 599,Rs 255
10000420,"BB Royal Rice - Flour, 500 g Pouch",Rs 30,Rs 18.18
40186857,"Colgate Max Fresh Anticavity Toothpaste Gel - Peppermint Ice, Saver Pack, 300 g",Rs 182,Rs 127
10000082,"Fresho Chilli - Green Long, Medium, 250 g",Rs 35.94,Rs 28.75
40004992,"Fresho Sweet Corn, 2 pcs",Rs 52.50,Rs 42
40167619,"GoodDiet Quinoa Puffs - Spicy Garlic, 30 g",Rs 19,Rs 17
1212200,"BORGES Extra Virgin Olive Oil 1L + Olive Oil - Extra Light 2L, Combo 2 Items",Rs 4000,Rs 1731.63
40085598,"bigbasket Baby Wipes - Cherry Blossom, No Paraben, Double Moisturizing, 80 pcs",Rs 169,Rs 99
40114163,"BB Royal Organic - Brown Sugar/Sakkare, 5 kg",Rs 499,Rs 380
1213085,"Dettol Antiseptic Liquid 550 ml + Disinfectant Spray- Spring Blossom 225 ml, Combo 2 Items",Rs 353.60,Rs 315.83
1213086,"Dettol Antiseptic Liquid 250 ml + Disinfectant Spray- Spring Blossom 225 ml, Combo 2 Items",Rs 275.16,Rs 234.11
1213087,"Dettol Antiseptic Liquid 1 L + Disinfectant Spray- Spring Blossom 225 ml, Combo 2 Items",Rs 490.41,Rs 432.46
280921,"Kara Coconut Milk - UHT Classic, Imported, 200 ml Carton",Rs 70,Rs 66.50
40137716,"iD Fresho Soft & Creamy Paneer, 200 g",Rs 105,Rs 89.89
20000745,"Fresho Bottle Gourd, 1 pc (Approx. 500 g - 800 g)",Rs 35,Rs 10.50
20002825,"Himalaya Baby Wipes - Gentle Baby, 72 pcs Pouch",Rs 200,Rs 146
40210721,"Savlon Surface Disinfectant Spray, 70 g",Rs 89,Rs 80.10
1213088,"Dettol Antiseptic Liquid 550 ml + Disinfectant Spray- Original 225 ml, Combo 2 Items",Rs 353.60,Rs 312.92
1213089,"Dettol Antiseptic Liquid 250 ml + Disinfectant Spray- Original 225 ml, Combo 2 Items",Rs 275.16,Rs 231.20
1213090,"Dettol Antiseptic Liquid 1 L+ Disinfectant Spray- Original 225 ml, Combo 2 Items",Rs 490.41,Rs 429.55
10000466,"BB Royal Urad Dal/Uddina Bele - Split, 500 g Pouch",Rs 105,Rs 73
10000115,"Fresho Garlic, 250 g",Rs 28.13,Rs 22.50
1200352,"bb Combo Comfort Fabric Conditioner 800 Ml + Surf Excel Liquid Detergent Front Load 1 Ltr, Combo 2 Items",Rs 465,Rs 395.41
40218332,"Fresho Grapes- Green Seedless, Sonaka, Approx 500 g 1 Pack",Rs 68.75,Rs 35.60
286939,"Sensodyne Fresh Gel Toothpaste - Daily Sensitivity Protection, For Strong Teeth & Healthy Gums, 75 g",Rs 120,Rs 114
1215019,"Pampers  Diaper Pants XL 136 pcs + Baby Gentle Wet Wipes 72 pcs (Pack Of 2), Combo 2 Items",Rs 3297,Rs 2120.40
40195404,"Ariel Matic Front Load Liquid Detergent, 2 L (Get 500 ml Free)",Rs 525,Rs 451.50
40185999,"BB Home Stainless Steel Ghee Pot - Durable & High Quality, 300 ml",Rs 349,Rs 199
40019161,"Colgate Total Advanced Health Anti-Cavity Toothpaste, 120 g",Rs 120,Rs 98.62
40033824,"Fresho Apple - Red Delicious, Regular, 4 pcs (Approx. 500g - 600g)",Rs 193.75,Rs 131.30
255874,"Vaseline Intensive Care Deep Moisture Body Lotion - With Pure Oat Extract, 100 ml",Rs 83,Rs 78.85
274035,"Frooti Drink - Fresh 'N' Juicy Mango, 150 ml Tetra",Rs 10,Rs 9.50
10000370,"Fresho Guava, 500 g",Rs 41.25,Rs 32.32
40167618,"GoodDiet Mini Puffs - Cheese N Herbs, 30 g",Rs 19,Rs 17
40204558,"Thums Up Soft Drink, 250 ml (Pack of 8)",Rs 160,Rs 152
10000137,"Fresho Mint Leaves - Cleaned, without roots, 100 g",Rs 8.75,Rs 7
