2022-02-19 11:53:25.462776
EAN,Name,MRP,Price
30010377,"BB Popular Urad Dal/Uddina Bele - Split, 1 kg Pouch",Rs 200,Rs 135
10000410,"BB Popular Rice/Akki - Raw, Sona Masoori, 5 kg (6 - 11 Months Old)",Rs 325,Rs 235
20000430,"BB Royal Urad Gota - Whole, 2 kg Pouch",Rs 420,Rs 245
20000437,"BB Royal Green Moong Whole/Hesaru Kaalu - Sabut, 1 kg Pouch",Rs 180,Rs 124
40026602,"BB Royal Mustard/Sasive/Rai - Small, 500 g",Rs 125,Rs 94
10000150,"Fresho Onion, 5 kg",Rs 243.75,Rs 195
10000203,"Fresho Tomato - Local, 1 kg",Rs 15,Rs 10.10
10000200,"Fresho Tomato - Hybrid, 1 kg",Rs 20.20,Rs 16.16
10000144,"Fresho Ladies Finger, 500 g",Rs 30,Rs 24
10000071,"Fresho Carrot - Orange, 250 g",Rs 28.13,Rs 22.50
10000074,"Fresho Cauliflower, 1 pc (approx. 400 to 600 g)",Rs 25,Rs 18.18
40057966,"Fresho Tender Coconut - Medium, 1 pc",Rs 38.75,Rs 30.30
10000283,"Fresho Green Peas, 500 g",Rs 42.50,Rs 34
10000103,"Fresho Cucumber, 500 g",Rs 12.50,Rs 10
10000188,"Fresho Palak - Cleaned, without roots, 500 g",Rs 18.75,Rs 15
10000031,"Fresho Banana - Yelakki, 1 kg",Rs 82.50,Rs 66
40048457,"Fresho Potato - New Crop, 1 kg",Rs 35,Rs 27.27
10000273,"Fresho Mushrooms - Button, 1 pack (Approx .180g - 200 g)",Rs 73.75,Rs 44.44
10000097,"Fresho Coriander Leaves, 100 g",Rs 6.25,Rs 3.03
10000069,"Fresho Capsicum - Green, 500 g",Rs 48.75,Rs 39
10000381,"Fresho Carrot - Red, 1 kg",Rs 61.86,Rs 49.49
40089742,"Fresho Beans - Haricot, 500 g",Rs 18.13,Rs 14.14
10000263,"Fresho Strawberry, 200 g",Rs 67.50,Rs 54
10000127,"Fresho Lemon, 250 g",Rs 22.50,Rs 18
10000066,"Fresho Cabbage, 1 pc (approx. 500 g to 800 g)",Rs 23.75,Rs 12.95
20000974,"Fresho Methi/Venthaya Keerai - Cleaned, without roots, 100 g",Rs 6.88,Rs 4.85
10000093,"Fresho Coconut - Medium, 1 pc (approx. 450g to 500)",Rs 31.25,Rs 24.24
10000046,"Fresho Beetroot, 500 g",Rs 28.75,Rs 19.19
10000117,"Fresho Ginger, 100 g",Rs 4.38,Rs 3.50
10000266,"Fresho Orange - Nagpur, Regular, 1 kg (Approx. 6 - 7 pcs)",Rs 87.50,Rs 70
40130385,"Fresho Tomato - Local, Organically Grown, 1 kg",Rs 17.50,Rs 14
40023472,"Fresho Onion - Organically Grown, 1 kg",Rs 50,Rs 40
40033819,"Fresho Apple - Shimla, 4 pcs (Approx. 500g-  650g)",Rs 148.75,Rs 119
10000025,"Fresho Banana - Robusta, 1 kg",Rs 39.38,Rs 31.50
10000269,"Fresho Pomegranate, 4 pcs (approx. 800 - 880 g)",Rs 281.25,Rs 160
10000054,"Fresho Brinjal - Bottle Shape, 500 g",Rs 21.46,Rs 17.17
10000175,"Fresho Ridge Gourd, 1 kg",Rs 40,Rs 30.30
40163718,"Fresho Frozen Green Peas, 1 Kg Slider Zip Standy Pouch",Rs 240,Rs 189
50000509,"Fresho Ginger - Organically Grown, 100 g",Rs 6.25,Rs 5
20000911,"Fresho Kiwi - Green, 3 pcs",Rs 123.75,Rs 99
10000599,"Fresho Cucumber - English, 500 g",Rs 20.63,Rs 16.50
40096746,"Hallimane 2-In-1 Idli Dosa Batter, 1 Kg",Rs 70,Rs 66.50
263754,"Harpic Disinfectant Toilet Cleaner Liquid, Original, 500 ml",Rs 93,Rs 86.86
266615,"Red Label Tea - Natural Care, 250 g",Rs 165,Rs 156.75
266575,"Red Label Tea, 250 g Carton",Rs 145,Rs 137
253537,"Dettol Antiseptic Disinfectant Liquid, 125 ml",Rs 60.50,Rs 57.47
266564,"Taj Mahal Tea, 500 g",Rs 395,Rs 375.25
40200082,"Tata Tea Gold Tea, 1.5 Kg",Rs 885,Rs 814.20
40130610,"Surf Excel Detergent - Liquid, Matic, Front Load, 2 L Pouch",Rs 445,Rs 348.77
40016743,"Dove Cream Beauty Bathing Bar, 125 g (Buy 4 Get 1 Free)",Rs 379,Rs 306
40186855,"Colgate Strong Teeth Anticavity Toothpaste - With Amino Shakti Formula, Provides Fresher Breath, 500 g",Rs 244,Rs 184
249154,"Lizol Disinfectant Surface & Floor Cleaner Liquid, Citrus, 2 L",Rs 399,Rs 362
306160,"Vim Dishwash Bar - Lemon, 300 g Wrapper",Rs 25,Rs 23.75
248215,"Parachute  Pure Coconut Oil, 1 L Pet Jar",Rs 380,Rs 357
40094923,"Nutella Hazelnut Spread with Cocoa, 350 g Jar",Rs 380,Rs 347
40137713,"BB Home Oxo-Biodegradable Garbage bag-Medium Green, 30 pcs (19x21 Inches)",Rs 65,Rs 61.75
100008536,"Dettol Original Bathing Soap Bar - With 76% TFM, Provides Germ Protection, 75 g",Rs 38,Rs 36.10
228623,"Surf Excel Matic Front Load Detergent Powder, 2 kg",Rs 550,Rs 401
266969,"Vim Dishwash Bar - Lemon, 200 g (Pack of 3)",Rs 50,Rs 43.68
271205,"iD Fresho Idly Dosa Batter, 1 Kg",Rs 75,Rs 71.25
40130609,"Surf Excel Detergent - Liquid, Matic, Top Load, 2 L Pouch",Rs 390,Rs 310
266160,"MAGGI  Masala Instant Noodles Vegetarian, 70 g Pouch",Rs 12,Rs 11.40
186070,"Cothas Coffee Coffee - Regular, 500 g Pouch",Rs 280,Rs 247
266584,"Bru  Instant Coffee, 50 g",Rs 70,Rs 66.50
303219,"BORGES Durum Wheat Pasta - Penne Rigate, 500 g Pouch",Rs 250,Rs 126
288068,"Kinley Sparkling Water - Club Soda, 1.25 L PET Bottle",Rs 30,Rs 28.50
1204983,"bb Combo Harpic Disinfectant Toilet Cleaner Original200ml+Lizol Floor Cleaner Citrus200ml, Combo 2 Items",Rs 80,Rs 75.62
40081006,"Harpic Disinfectant Bathroom Cleaner Liquid, Lemon, 1 L",Rs 189,Rs 162
1208977,"bb Combo Harpic Toilet Cleaner Liquid, Original 1 L + Lizol Floor & Surface Cleaner Liquid, Citrus 2 L, Combo 2 Items",Rs 594,Rs 525
40006902,"Harpic Disinfectant Toilet Cleaner Liquid, Rose, 1 L",Rs 205,Rs 194.75
40137710,"BB Home Oxo-Biodegradable Garbage bag-Medium Blue, 30 pcs (19x21 Inches)",Rs 65,Rs 61.75
40196818,"Tasties Nacho Chips - Cheese, 150 g",Rs 90,Rs 45
40182988,"Raw Pressery Coconut Water - Packed With Electrolytes & Boosts Hydration, 200 ml",Rs 60,Rs 54.54
298258,"Vim Dishwash Liquid Gel - Lemon, 1.8 L Can",Rs 415,Rs 362.56
162275,"Bournvita Chocolate Health Drink - Bournvita, 75 g Pouch",Rs 30,Rs 25.25
40016660,"Pears Pure & Gentle Bathing Bar, 125 g (Buy 4 Get 1 Free)",Rs 325,Rs 251.43
263967,"Dettol Hand Wash Liquid Refill - Original, 175 ml",Rs 40,Rs 38
150502,"Fresho Farm Eggs - Table Tray, Medium, Antibiotic Residue-Free, 30 pcs",Rs 210,Rs 199.50
281204,"Fresho Farm Eggs - Regular, Medium, Antibiotic Residue-Free, 6 pcs",Rs 50,Rs 47.47
40048897,"Fresho Chicken - Curry Cut Without Skin, Antibiotic Residue-Free, 500 g",Rs 220,Rs 169
1204357,"Fresho Bread - Whole Wheat, Chemical Free 400G + Eggs - Table Tray 12pcs, Combo 2 Items",Rs 149,Rs 141.55
10000901,"Fresho Chicken Breast - Boneless, Antibiotic Residue-Free, 250 g",Rs 151,Rs 143.45
1204354,"Fresho Bread - Whole Wheat, Chemical Free 400G + Eggs - Regular 6pcs, Combo 2 Items",Rs 89,Rs 84.52
1204352,"Fresho Sandwich Bread - White, Chemical Free 400G + Eggs - Regular 6pcs, Combo 2 Items",Rs 89,Rs 84.52
1204353,"Fresho Bread - Brown, Chemical Free 400G + Eggs - Regular 6pcs, Combo 2 Items",Rs 89,Rs 84.52
1202514,"bb Combo Fresho Meat Chicken Curry Cut Without Skin 1kg + Everest Chicken Masala 100g, Combo 2 Items",Rs 364,Rs 315.30
1213732,"bb Combo Fresho Chicken Curry Cut Without Skin 1 kg + Kara Coconut Milk - Classic 400 ml, Combo 2 Items",Rs 420,Rs 368.50
1215095,"Fresho Chicken Curry Cut 1kg + Seer Fish Slice/Steaks 500 g, Combo 2 Items",Rs 1719,Rs 1344
40003813,"Best Plus Egg - Veg Feed, No Bad Odour, 12 pcs Pouch",Rs 143,Rs 135.85
40117922,"Farm Made Eggs - Free Range, 12 pcs",Rs 250,Rs 201
1213737,"bb Combo Fresho Farm Eggs  Medium 30 pcs + Kara Coconut Milk UHT Classic, Imported 200 ml, Combo 2 Items",Rs 280,Rs 266
1213733,"bb Combo Fresho Chicken Breast Boneless 4-5 pcs 500g +Kara Coconut Milk UHT Classic 200ml, Combo 2 Items",Rs 368,Rs 295.50
1203231,"bb Combo Kara Coconut Milk - UHT Natural 200ml + Fresho Meat Chicken Breast Boneless 500G, Combo 2 Items",None,Rs 368
40161158,"UPF Healthy Brown Eggs, 6 pcs",Rs 80,Rs 68.68
40038379,"Fresho Farm Eggs - Brown, Medium, Antibiotic Residue-Free, 6 pcs",Rs 90,Rs 71
1203232,"bb Combo Kara Coconut Milk - UHT 200ml + Fresho Meat Chicken Drumstick Skinless 500G, Combo 2 Items",None,Rs 315
40118810,"Fresho Chilli Chicken Pieces - Boneless, Antibiotic Residue-Free, 1 kg",Rs 636,Rs 489
1203234,"bb Combo Kara Coconut Milk - UHT Natural 200 ml + Fresho Meat Fish Fillet - Basa 500 gm, Combo 2 Items",None,Rs 455
10000905,"Fresho Chicken Drumstick - Without Skin, Antibiotic Residue-Free, 250 g",Rs 130,Rs 99
10001007,"Fresho Chicken Leg - Without Skin, 1 Kg",Rs 200,Rs 190
20000963,"Fresho Rohu Fish (Large) - Curry Cut/Bengali Cut, Preservative Free, 500 g (Gross Fish Weight 700- 750 g, Net Weight After Cleaning 500 g)",Rs 260,Rs 199
1213738,"bb Combo Fresho Prawns - Large 250 g + Kara Coconut Milk - UHT Classic, Imported 200 ml, Combo 2 Items",Rs 320,Rs 291.50
40048913,"Fresho Mutton - Curry Cut, From Whole Carcass 15-20 pcs Antibiotic Residue-Free, Growth Hormone-Free, 1 kg",Rs 890,Rs 699
10000927,"Fresho Chicken Curry Cut - With Skin, Antibiotic Residue-Free, 250 g",Rs 116,Rs 89
40161157,"UPF Healthy Daily Eggs, 6 pcs",Rs 70,Rs 59.59
40048878,"Fresho Basa Fish Fillet - Preservative Free, 1 kg (Gross Fish Weight 2.1-2.2 kg, Net Weight After Cleaning 1 kg)",Rs 818,Rs 629
40092369,"Farm Made Eggs - Free Range, 6 pcs",Rs 130,Rs 111
10000983,"Fresho Tilapia Fish Whole Cleaned - Preservative Free, 4-6 pcs, 500 g (Gross Fish Weight 650-700 g, Net Weight After Cleaning 500 g)",Rs 142,Rs 94
40001173,"Delfrez Eggs Speciality Eggs - For Nourishment, Healthy & Tasty, 6 pcs Pouch",Rs 62,Rs 58.90
40106728,"Ayur Plus Eggs, 6 pcs",Rs 75,Rs 71.25
40161155,"Farm Made Free Range Eggs, 24 pcs",Rs 490,Rs 465.50
10000906,"Fresho Chicken Mince - Antibiotic Residue Free, 500 g",Rs 337,Rs 238.65
40094113,"CP EVERYDAY Eggs - White, 6 pcs",Rs 65,Rs 61.75
10000150,"Fresho Onion, 5 kg",Rs 243.75,Rs 195
150502,"Fresho Farm Eggs - Table Tray, Medium, Antibiotic Residue-Free, 30 pcs",Rs 210,Rs 199.50
161826,"Aashirvaad Atta/Godihittu - Whole Wheat, 2 kg Pouch",Rs 109,Rs 103.55
40096746,"Hallimane 2-In-1 Idli Dosa Batter, 1 Kg",Rs 70,Rs 66.50
263754,"Harpic Disinfectant Toilet Cleaner Liquid, Original, 500 ml",Rs 93,Rs 86.86
10000203,"Fresho Tomato - Local, 1 kg",Rs 15,Rs 10.10
281204,"Fresho Farm Eggs - Regular, Medium, Antibiotic Residue-Free, 6 pcs",Rs 50,Rs 47.47
137575,"Milky Mist Paneer - Premium Fresh, 1 kg Pouch",Rs 445,Rs 422.75
40129678,"Pampers  Diaper Pants - Extra Large, 112 pcs",Rs 2199,Rs 1533
266615,"Red Label Tea - Natural Care, 250 g",Rs 165,Rs 156.75
266575,"Red Label Tea, 250 g Carton",Rs 145,Rs 137
253537,"Dettol Antiseptic Disinfectant Liquid, 125 ml",Rs 60.50,Rs 57.47
40006250,"BORGES Extra Virgin Olive Oil, 1 L Pet Bottle",Rs 1400,Rs 700
40048897,"Fresho Chicken - Curry Cut Without Skin, Antibiotic Residue-Free, 500 g",Rs 220,Rs 169
240100,"Duracell Ultra Alkaline Battery AA, 4 pcs",Rs 170,Rs 154
106417,"Eveready Carbon Zinc Battery Red HD AA 1015, 10 pcs",Rs 150,Rs 135
10000200,"Fresho Tomato - Hybrid, 1 kg",Rs 20.20,Rs 16.16
10000144,"Fresho Ladies Finger, 500 g",Rs 30,Rs 24
10000071,"Fresho Carrot - Orange, 250 g",Rs 28.13,Rs 22.50
10000457,"BB Royal Rice/Akki - Raw, Sona Masoori, 1 kg (12 - 17 Months Old)",Rs 70,Rs 54
273623,"Duracell Ultra-Alkaline Battery AAA, 4 pcs",Rs 170,Rs 153
137936,"Taj Mahal Tea, 1 Kg Carton",Rs 770,Rs 694
256652,"Pedigree Dry Dog Food - Chicken & Vegetables, For Adult Dogs, 1.2 kg",Rs 280,Rs 266
40200082,"Tata Tea Gold Tea, 1.5 Kg",Rs 885,Rs 814.20
40046546,"Epigamia  Greek Yogurt - Natural, 90 g Cup",Rs 50,Rs 47.47
10000074,"Fresho Cauliflower, 1 pc (approx. 400 to 600 g)",Rs 25,Rs 18.18
40077763,"Surf Excel Liquid Detergent - Matic, Front Load, 500 ml",Rs 115,Rs 109.25
10000283,"Fresho Green Peas, 500 g",Rs 42.50,Rs 34
40057966,"Fresho Tender Coconut - Medium, 1 pc",Rs 38.75,Rs 30.30
40075897,"BB Royal Sona Masoori Rice/Akki Raw Rice/Akki - Super Premium, 10 kg (12 + Months Old)",Rs 750,Rs 499
40016743,"Dove Cream Beauty Bathing Bar, 125 g (Buy 4 Get 1 Free)",Rs 379,Rs 306
40186855,"Colgate Strong Teeth Anticavity Toothpaste - With Amino Shakti Formula, Provides Fresher Breath, 500 g",Rs 244,Rs 184
242671,"Nandini Goodlife - Toned Milk, 500 ml Pouch",Rs 26,Rs 23.60
10000423,"BB Royal Sooji Ordinary/Bombay Rava, 1 kg Pouch",Rs 60,Rs 39
40135858,"BB Royal Organic - Toor Dal/Togari Bele, 5 kg",Rs 899,Rs 605
40030808,"BB Royal Cumin/Jeera/Jeerige - Whole, 1 kg",Rs 500,Rs 304
10000103,"Fresho Cucumber, 500 g",Rs 12.50,Rs 10
40037195,"Lizol Disinfectant Surface & Floor Cleaner Liquid, Citrus, 200 ml",Rs 40,Rs 38
10000188,"Fresho Palak - Cleaned, without roots, 500 g",Rs 18.75,Rs 15
10000031,"Fresho Banana - Yelakki, 1 kg",Rs 82.50,Rs 66
40128519,"Pampers  Diaper Pants - Large, 23 pcs",Rs 399,Rs 349
148674,"Nandini Pure Ghee/Tuppa, 200 ml Pouch",Rs 105,Rs 95.95
264003,"Johnson's baby Buds, 75 Stems/150 Swabs",Rs 100,Rs 85
10000442,"BB Royal Peanuts/Kadalekayi - Raw, 500 g Pouch",Rs 115,Rs 88
306160,"Vim Dishwash Bar - Lemon, 300 g Wrapper",Rs 25,Rs 23.75
40090037,"Baby Dove Rich Moisture Bathing Bar - Sensitive Care, Natural, No Parabens, 75 g",Rs 52,Rs 49.40
10000425,"BB Royal Toor Dal/Togari Bele - Desi, 1 kg Pouch",Rs 170,Rs 135
40048457,"Fresho Potato - New Crop, 1 kg",Rs 35,Rs 27.27
40132873,"Parachute  Pure Coconut Oil, 600 ml Bottle",Rs 251,Rs 215
10000273,"Fresho Mushrooms - Button, 1 pack (Approx .180g - 200 g)",Rs 73.75,Rs 44.44
10000097,"Fresho Coriander Leaves, 100 g",Rs 6.25,Rs 3.03
10000459,"BB Royal Refined Sugar (Sulphurless)/Sakkare, 2 kg",Rs 120,Rs 89
10000069,"Fresho Capsicum - Green, 500 g",Rs 48.75,Rs 39
40102776,"Nutella Hazelnut Spread With Cocoa, 750 g Jar",Rs 769,Rs 716
10000381,"Fresho Carrot - Red, 1 kg",Rs 61.86,Rs 49.49
40019397,"BB Popular Sugar/Sakkare, 2 kg",Rs 110,Rs 88
30005420,"BB Popular Moong Dal/Hesaru Bele, 1 kg Pouch",Rs 190,Rs 140
274120,"Sunpure  Refined - Sunflower Oil, 1 L Pouch",Rs 165,Rs 144
10000263,"Fresho Strawberry, 200 g",Rs 67.50,Rs 54
40089743,"Fresho Beans - Haricot, 250 g",Rs 9.06,Rs 7.07
241600,"Tata Salt Iodized, 1 kg Pouch",Rs 24,Rs 22.22
40137713,"BB Home Oxo-Biodegradable Garbage bag-Medium Green, 30 pcs (19x21 Inches)",Rs 65,Rs 61.75
244096,"Madhur Sugar/Sakkare - Refined, 1 kg Pouch",Rs 60,Rs 50.50
303219,"BORGES Durum Wheat Pasta - Penne Rigate, 500 g Pouch",Rs 250,Rs 126
100008536,"Dettol Original Bathing Soap Bar - With 76% TFM, Provides Germ Protection, 75 g",Rs 38,Rs 36.10
40134836,"Surf Excel Detergent Powder - Matic, Front Load, 4 kg Get 2 kg Free",Rs 1240,Rs 1003.33
100316308,"Himalaya Baby Baby Lotion, 200 ml",Rs 165,Rs 136.26
266969,"Vim Dishwash Bar - Lemon, 200 g (Pack of 3)",Rs 50,Rs 43.68
10000549,"BB Popular Almond/Badam - Californian, Giri, 500 g Pouch",Rs 750,Rs 350
40003162,"Milky Mist Curd - Farm Fresh, 500 g Pouch",Rs 42,Rs 36.36
1204357,"Fresho Bread - Whole Wheat, Chemical Free 400G + Eggs - Table Tray 12pcs, Combo 2 Items",Rs 149,Rs 141.55
10000800,"BB Royal Fried Gram/Huri Kadale, 1 kg Pouch",Rs 180,Rs 138
30005136,"Whiskas Wet Cat Food - Ocean Fish, For Adult Cats, +1 Year, 85 g",Rs 35,Rs 33.25
1213737,"bb Combo Fresho Farm Eggs  Medium 30 pcs + Kara Coconut Milk UHT Classic, Imported 200 ml, Combo 2 Items",Rs 280,Rs 266
271205,"iD Fresho Idly Dosa Batter, 1 Kg",Rs 75,Rs 71.25
40077761,"Surf Excel Liquid Detergent - Matic, Top Load, 500 ml",Rs 99,Rs 94.05
40176258,"Pampers  Premium Care Diapers - XXL, 30 pcs",Rs 1149,Rs 1010.97
186070,"Cothas Coffee Coffee - Regular, 500 g Pouch",Rs 280,Rs 247
276764,"Fortune  Fortune Premium Kachi Ghani Pure Mustard Oil, 500 ml Bottle",Rs 116,Rs 108
10000066,"Fresho Cabbage, 1 pc (approx. 500 g to 800 g)",Rs 23.75,Rs 12.95
266584,"Bru  Instant Coffee, 50 g",Rs 70,Rs 66.50
40128535,"Eveready Carbon Zinc Battery Red HD AAA 1012, 10 pcs",Rs 170,Rs 135
40081006,"Harpic Disinfectant Bathroom Cleaner Liquid, Lemon, 1 L",Rs 189,Rs 162
266112,"MAGGI  2-Minute Instant Noodles - Masala, 420 g Pouch",Rs 72,Rs 65.45
10000127,"Fresho Lemon, 250 g",Rs 22.50,Rs 18
20000974,"Fresho Methi/Venthaya Keerai - Cleaned, without roots, 100 g",Rs 6.88,Rs 4.85
30005118,"Pedigree Wet Dog Food-  Chicken & Liver Chunks In Gravy, For Adult Dogs, 70 g Pouch",Rs 35,Rs 31.50
40075139,"Epigamia  Greek Yogurt - Blueberry, 90 g Cup",Rs 50,Rs 47.47
10000497,"BB Popular Cashew/Godambi - Whole, 100 g",Rs 150,Rs 92
1204983,"bb Combo Harpic Disinfectant Toilet Cleaner Original200ml+Lizol Floor Cleaner Citrus200ml, Combo 2 Items",Rs 80,Rs 75.62
1208977,"bb Combo Harpic Toilet Cleaner Liquid, Original 1 L + Lizol Floor & Surface Cleaner Liquid, Citrus 2 L, Combo 2 Items",Rs 594,Rs 525
10000093,"Fresho Coconut - Medium, 1 pc (approx. 450g to 500)",Rs 31.25,Rs 24.24
40044729,"BB Royal Maida, 2 kg Pouch",Rs 120,Rs 63
10000046,"Fresho Beetroot, 500 g",Rs 28.75,Rs 19.19
10000269,"Fresho Pomegranate, 4 pcs (approx. 800 - 880 g)",Rs 281.25,Rs 160
40006902,"Harpic Disinfectant Toilet Cleaner Liquid, Rose, 1 L",Rs 205,Rs 194.75
100028198,"Duracell Ultra-Alkaline Battery AA, 2 pcs",Rs 90,Rs 76.76
288068,"Kinley Sparkling Water - Club Soda, 1.25 L PET Bottle",Rs 30,Rs 28.50
40137710,"BB Home Oxo-Biodegradable Garbage bag-Medium Blue, 30 pcs (19x21 Inches)",Rs 65,Rs 61.75
1214622,"Duracell Ultra Alkaline Battery AA, 2 x 4 pcs Multipack",Rs 340,Rs 301.84
40182988,"Raw Pressery Coconut Water - Packed With Electrolytes & Boosts Hydration, 200 ml",Rs 60,Rs 54.54
40076994,"Vim Dishwash Liquid Gel Lemon Refill, 500 ml Pouch",Rs 99,Rs 94.05
